"components"	"count"	"rule"	"step"
"(IV, \"minor\")"	596.3342162599309	"CFRule(modulation)"	1
"(IV, \"minor\")"	445.4604270792718	"CFRule(prolongation)"	1
"(IV, \"minor\")"	144.77142663844154	"CFRule(m_termination)"	1
"(V, \"major\")"	3376.400858438059	"CFRule(7_termination)"	1
"(V, \"major\")"	1216.0991128046487	"CFRule(dominant_prep)"	1
"(V, \"major\")"	1180.427898350853	"CFRule(diatonic_prep)"	1
"(V, \"major\")"	1006.3777103721663	"CFRule(octa_dom_subs3)"	1
"(V, \"major\")"	890.9936578802149	"CFRule(octa_dom_subs6)"	1
"(V, \"major\")"	880.5978831121255	"CFRule(octa_dom_subs9)"	1
"(V, \"major\")"	760.6597826871521	"CFRule(prolongation)"	1
"(V, \"major\")"	614.6184097347102	"CFRule(diatonic_subs)"	1
"(V, \"major\")"	356.7322773813489	"CFRule(modulation)"	1
"(V, \"major\")"	303.44654846867365	"CFRule(m6_termination)"	1
"(V, \"major\")"	106.47587943770529	"CFRule(sus_termination)"	1
"(V, \"major\")"	35.93532319394885	"CFRule(^_termination)"	1
"(V, \"major\")"	1.945803676957972	"CFRule(+_termination)"	1
"(V, \"minor\")"	2001.698797842898	"CFRule(7_termination)"	1
"(V, \"minor\")"	824.4113769373507	"CFRule(diatonic_prep)"	1
"(V, \"minor\")"	632.0139260326991	"CFRule(diatonic_subs)"	1
"(V, \"minor\")"	609.834702581546	"CFRule(dominant_prep)"	1
"(V, \"minor\")"	473.3900535448685	"CFRule(octa_dom_subs6)"	1
"(V, \"minor\")"	419.18230657437914	"CFRule(octa_dom_subs9)"	1
"(V, \"minor\")"	417.9366001617442	"CFRule(octa_dom_subs3)"	1
"(V, \"minor\")"	319.5247995607579	"CFRule(prolongation)"	1
"(V, \"minor\")"	304.4070311350027	"CFRule(m7_termination)"	1
"(V, \"minor\")"	296.0085458763464	"CFRule(modulation)"	1
"(V, \"minor\")"	46.15718635914373	"CFRule(sus_termination)"	1
"(V, \"minor\")"	22.150844239358566	"CFRule(^_termination)"	1
"(V, \"minor\")"	20.706546949347043	"CFRule(m_termination)"	1
"(V, \"minor\")"	4.569690453461904	"CFRule(+_termination)"	1
"(VI, \"major\")"	707.6679355184488	"CFRule(m7_termination)"	1
"(VI, \"major\")"	395.03540393891836	"CFRule(modulation)"	1
"(VI, \"major\")"	380.0913238206236	"CFRule(prolongation)"	1
"(VI, \"major\")"	373.6992530723247	"CFRule(dominant_prep)"	1
"(VI, \"major\")"	210.31658620744136	"CFRule(diatonic_prep)"	1
"(VI, \"major\")"	130.51145312623947	"CFRule(m_termination)"	1
"(VI, \"minor\")"	78.145371280043	"CFRule(^7_termination)"	1
"(VI, \"minor\")"	32.21955184339484	"CFRule(modulation)"	1
"(VI, \"minor\")"	30.468693125921828	"CFRule(diatonic_prep)"	1
"(VI, \"minor\")"	28.717834408448812	"CFRule(dominant_prep)"	1
"(VI, \"minor\")"	27.472303869146856	"CFRule(prolongation)"	1
"(VI, \"minor\")"	7.3704684733256505	"CFRule(6_termination)"	1
"(VI, \"minor\")"	2.9481873893302604	"CFRule(^_termination)"	1
"(VII, \"major\")"	385.982784352156	"CFRule(o7_termination)"	1
"(VII, \"major\")"	162.1284038961042	"CFRule(modulation)"	1
"(VII, \"major\")"	139.2131684252259	"CFRule(%7_termination)"	1
"(VII, \"major\")"	66.51475342118229	"CFRule(prolongation)"	1
"(VII, \"major\")"	58.53659375386545	"CFRule(dominant_prep)"	1
"(VII, \"major\")"	48.789521652950455	"CFRule(diatonic_prep)"	1
"(VII, \"minor\")"	2633.0990415980827	"CFRule(7_termination)"	1
"(VII, \"minor\")"	1631.388262772145	"CFRule(diatonic_prep)"	1
"(VII, \"minor\")"	1113.921173865816	"CFRule(dominant_prep)"	1
"(VII, \"minor\")"	870.7859215895234	"CFRule(prolongation)"	1
"(VII, \"minor\")"	356.0271272124705	"CFRule(modulation)"	1
"(VII, \"minor\")"	170.68945543345563	"CFRule(sus_termination)"	1
"(VII, \"minor\")"	30.726618105703803	"CFRule(^_termination)"	1
"(VII, \"minor\")"	10.834588655788707	"CFRule(+_termination)"	1
"(I, \"major\")"	936.25099621012	"CFRule(^7_termination)"	2
"(I, \"major\")"	693.3283479968752	"CFRule(diatonic_subs)"	2
"(I, \"major\")"	692.0830495416952	"CFRule(mode_change)"	2
"(I, \"major\")"	660.5029936699362	"CFRule(diatonic_prep)"	2
"(I, \"major\")"	515.2747497378332	"CFRule(plagal_prep)"	2
"(I, \"major\")"	366.590351213286	"CFRule(prolongation)"	2
"(I, \"major\")"	330.0213119345143	"CFRule(6_termination)"	2
"(I, \"major\")"	235.39118251559015	"CFRule(^_termination)"	2
"(I, \"minor\")"	1394.0519113427565	"CFRule(diatonic_subs)"	2
"(I, \"minor\")"	1175.3717773916403	"CFRule(m7_termination)"	2
"(I, \"minor\")"	666.7607437814856	"CFRule(diatonic_prep)"	2
"(I, \"minor\")"	553.1309695392613	"CFRule(mode_change)"	2
"(I, \"minor\")"	482.2623035346362	"CFRule(plagal_prep)"	2
"(I, \"minor\")"	379.47468414686887	"CFRule(prolongation)"	2
